hotel_id,snapshot_month,market_segment,region,star_rating,days_listed,is_new_partner,review_score,review_count,photo_count,content_completeness_score,has_virtual_tour,price_index_vs_compset,promo_depth_pct,inventory_availability_rate,mobile_conversion_rate,guest_response_rate_pct,cancellation_rate_pct,days_since_last_content_update,comp_set_size,underperforming
HTL-00001,6,Airport,Northeast,3,623,0,3.55,301,31,75.5,0.0,1.143,18.1,80.2,6.39,45.7,45.0,156,11,1
HTL-00002,4,Leisure Beach,Northeast,3,1361,0,2.24,51,28,65.2,0.0,1.077,5.3,84.4,0.49,78.7,22.8,49,20,0
HTL-00003,2,Airport,South,4,341,0,3.65,54,25,49.2,0.0,0.693,24.0,85.2,3.54,81.1,39.6,105,12,0
HTL-00004,12,Suburban,South,4,143,1,3.42,33,14,26.2,0.0,1.0,11.7,23.9,1.46,76.3,17.2,171,9,1
HTL-00005,7,Urban Business,Northeast,4,994,0,3.36,154,29,62.4,0.0,0.96,5.8,79.9,8.58,86.4,25.8,72,11,0
HTL-00006,4,Resort/Destination,Midwest,5,74,1,4.52,13,12,49.9,0.0,1.106,21.5,78.5,2.49,81.2,34.1,111,15,0
HTL-00007,10,Airport,West,4,320,0,3.91,9,18,50.5,0.0,0.998,13.1,89.2,9.32,95.8,5.5,126,12,0
HTL-00008,5,Airport,West,4,159,1,3.59,19,27,38.2,0.0,1.194,10.5,89.2,2.67,87.5,10.0,102,14,1
HTL-00009,1,Urban Business,Midwest,4,466,0,4.28,11,3,29.3,0.0,0.764,7.9,89.6,3.86,72.8,22.3,61,14,0
HTL-00010,2,Leisure Beach,West,5,655,0,4.72,59,40,48.6,0.0,1.015,10.1,71.6,,79.8,26.5,51,8,1
HTL-00011,12,Leisure Beach,International,4,501,0,3.37,13,30,50.3,0.0,0.876,6.7,94.8,9.42,90.1,10.7,125,13,0
HTL-00012,8,Resort/Destination,Northeast,3,972,0,3.21,229,28,59.4,0.0,1.15,8.0,80.8,4.39,96.0,17.7,370,25,0
HTL-00013,10,Suburban,Midwest,3,1262,0,3.4,173,37,38.3,0.0,0.952,16.3,75.5,2.88,80.7,26.8,4,20,0
HTL-00014,11,Airport,Midwest,4,633,0,4.59,95,31,67.5,1.0,0.856,9.2,53.8,3.47,99.4,17.4,572,15,0
HTL-00015,8,Leisure Beach,Midwest,4,194,0,4.05,33,19,38.1,0.0,0.974,12.1,75.5,4.37,96.4,4.3,29,15,0
HTL-00016,2,Urban Business,South,4,616,0,3.19,21,20,38.6,0.0,0.939,6.9,90.0,,50.9,25.3,64,12,1
HTL-00017,9,Suburban,Midwest,3,255,0,3.69,95,14,62.2,1.0,0.966,16.6,91.3,10.17,51.0,23.3,4,9,0
HTL-00018,3,Urban Business,International,4,131,1,3.65,10,12,37.5,0.0,0.95,17.7,82.1,4.12,84.7,7.9,150,25,0
HTL-00019,8,Airport,West,5,754,0,4.19,36,8,46.2,1.0,1.141,18.0,92.0,2.37,92.4,6.2,259,6,0
HTL-00020,12,Suburban,Northeast,2,475,0,3.2,95,24,43.9,0.0,0.773,3.0,86.7,8.3,85.6,34.2,45,21,0
HTL-00021,6,Airport,South,4,295,0,5.0,8,29,41.9,1.0,1.12,17.3,85.9,,88.2,40.7,41,18,0
HTL-00022,1,Leisure Beach,Midwest,4,198,0,3.44,13,20,37.3,1.0,0.622,9.6,58.5,6.97,81.3,28.4,134,17,1
HTL-00023,5,Resort/Destination,West,2,489,0,1.87,82,21,62.9,0.0,0.903,2.9,82.8,7.55,45.3,45.0,173,6,1
HTL-00024,12,Resort/Destination,Northeast,4,671,0,3.39,115,20,23.8,0.0,1.36,10.2,87.2,,92.8,11.0,34,13,1
HTL-00025,1,Airport,West,4,1025,0,3.01,76,33,72.1,0.0,0.952,9.8,74.2,10.9,52.2,28.8,99,20,1
HTL-00026,6,Urban Business,Northeast,4,390,0,,16,12,54.2,1.0,1.106,9.9,63.0,2.65,73.9,9.5,98,21,0
HTL-00027,10,Leisure Beach,Northeast,3,1119,0,3.55,89,8,63.3,0.0,0.92,16.4,55.0,10.22,57.6,16.1,27,10,0
HTL-00028,6,Urban Business,Midwest,4,101,1,4.83,11,13,36.4,0.0,1.267,7.4,84.8,9.28,69.9,5.7,192,8,0
HTL-00029,2,Urban Business,West,3,364,0,3.62,45,18,47.9,1.0,1.137,26.0,90.0,2.77,89.0,42.0,50,11,0
HTL-00030,6,Suburban,South,3,195,0,2.53,11,3,52.5,0.0,0.873,9.9,89.2,6.7,50.8,11.7,86,16,1
HTL-00031,9,Airport,Midwest,3,208,0,2.15,73,36,58.7,0.0,0.968,7.7,92.8,15.0,77.3,24.7,85,14,0
HTL-00032,2,Resort/Destination,Northeast,3,56,1,3.35,12,14,61.5,0.0,0.998,8.3,86.9,9.79,89.3,25.2,70,25,1
HTL-00033,7,Leisure Beach,West,3,887,0,3.5,204,45,74.3,1.0,1.017,24.8,79.9,4.2,65.9,8.5,72,7,0
HTL-00034,8,Leisure Beach,International,3,1927,0,3.23,760,26,63.9,0.0,1.042,4.8,30.7,15.0,81.0,11.6,143,17,1
HTL-00035,2,Leisure Beach,West,3,411,0,3.09,67,21,70.8,1.0,0.731,20.1,87.9,6.06,37.3,28.9,179,22,0
HTL-00036,5,Urban Business,Midwest,1,876,0,1.85,95,14,46.2,1.0,0.986,4.2,24.4,1.42,92.7,5.1,98,15,0
HTL-00037,6,Urban Business,South,4,554,0,4.22,11,21,22.1,1.0,0.56,15.4,48.2,9.39,71.2,20.3,1,17,0
HTL-00038,11,Leisure Beach,South,4,333,0,4.02,144,11,45.6,0.0,1.051,18.6,70.2,8.68,81.6,15.0,80,20,0
HTL-00039,12,Urban Business,International,3,1325,0,3.89,45,37,69.9,0.0,0.84,10.9,61.5,8.47,68.6,22.0,123,7,0
HTL-00040,3,Suburban,West,4,494,0,4.68,68,21,46.2,0.0,0.869,11.5,73.7,6.25,85.3,14.2,160,22,0
